city,state,zone,latitude,longitude,population_million,industrialization,year,month,month_name,season,aqi,aqi_category,pm25_ug_m3,pm10_ug_m3,no2_ug_m3,so2_ug_m3,co_mg_m3,o3_ug_m3,nh3_ug_m3,temperature_celsius,humidity_pct,wind_speed_kmh,rainfall_mm,visibility_km,respiratory_admissions_per_100k,asthma_er_visits_per_100k,copd_cases_per_100k,cardiovascular_events_per_100k,premature_deaths_pollution,child_respiratory_infections_per_100k
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,2,February,Winter,327,Very Poor,116.7,250.7,84.7,46.2,3.48,15.3,19.7,7.3,43.9,5.1,8.5,5.4,85.2,29.1,13.9,18.1,2.64,87.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,3,March,Summer,234,Poor,115.2,245.3,44.7,20.7,1.34,61.5,16.2,16.5,70.6,9.8,9.1,7.9,42.6,11.8,12.1,12.0,4.93,31.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,4,April,Summer,253,Poor,91.7,176.1,74.0,14.5,3.17,9.9,20.6,33.3,46.6,2.0,13.7,12.0,35.0,12.2,8.6,11.8,4.88,28.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,5,May,Summer,221,Poor,96.9,144.4,46.8,28.0,1.68,45.9,9.7,34.4,66.4,9.2,10.7,8.3,53.6,12.5,8.8,9.1,2.61,36.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,6,June,Monsoon,231,Poor,78.0,129.2,42.7,13.8,3.44,5.0,24.7,32.9,81.0,5.3,7.4,3.5,37.7,9.7,2.8,15.5,3.48,48.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,7,July,Monsoon,131,Moderate,56.4,121.0,35.2,23.0,1.61,26.6,11.6,28.6,83.5,5.0,4.1,9.7,33.6,14.7,7.8,13.9,2.67,34.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,8,August,Monsoon,104,Moderate,35.0,74.9,24.7,3.9,1.99,46.3,17.3,25.0,71.5,4.2,114.7,15.2,23.1,12.2,9.3,14.0,1.88,20.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,9,September,Monsoon,152,Moderate,75.0,172.8,33.3,7.4,1.34,16.9,14.8,31.8,86.6,9.6,6.4,11.3,26.0,11.3,5.3,7.7,1.33,21.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,10,October,Post-Monsoon,191,Moderate,99.8,144.9,44.0,21.0,1.05,20.2,19.1,26.0,57.4,4.0,162.0,9.6,42.3,18.6,10.1,11.7,2.98,39.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,11,November,Post-Monsoon,362,Very Poor,151.5,266.7,99.4,47.3,4.17,48.4,37.2,20.9,53.1,4.2,25.5,5.1,60.2,26.5,15.6,19.5,2.61,64.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,12,December,Winter,357,Very Poor,175.0,324.2,67.2,46.4,3.66,25.5,43.0,12.4,46.6,2.7,4.1,3.8,66.1,16.4,15.0,17.7,7.4,67.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,1,January,Winter,324,Very Poor,146.8,303.4,66.8,40.3,3.02,25.6,40.4,13.6,56.2,5.0,1.3,5.8,76.2,28.3,12.7,18.6,5.06,42.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,2,February,Winter,322,Very Poor,141.1,313.6,83.3,28.1,2.38,65.6,16.8,13.5,55.7,2.9,10.5,7.1,67.0,24.7,15.3,12.3,4.25,83.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,3,March,Summer,219,Poor,105.8,217.2,64.7,34.6,1.72,46.1,28.0,24.2,55.1,4.2,10.5,10.5,43.9,17.0,6.5,15.3,4.81,48.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,4,April,Summer,245,Poor,123.2,313.7,40.7,30.6,1.67,64.9,19.6,32.1,79.7,8.9,16.0,5.7,57.4,15.8,10.3,14.1,3.12,63.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,5,May,Summer,247,Poor,94.7,168.1,66.6,26.3,1.17,19.9,29.1,31.2,63.1,7.6,31.4,7.9,48.3,17.8,10.1,15.8,3.0,45.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,6,June,Monsoon,245,Poor,127.0,249.5,62.2,17.7,2.0,28.6,27.3,32.1,74.1,4.4,24.9,5.4,41.5,15.2,9.1,11.7,1.74,38.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,7,July,Monsoon,138,Moderate,46.4,80.6,24.4,15.6,0.64,19.0,14.4,25.1,100.0,3.2,210.6,14.6,34.5,8.3,7.2,12.9,2.46,23.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,8,August,Monsoon,151,Moderate,79.3,170.5,52.4,7.6,1.22,37.3,13.4,29.1,63.3,5.6,103.5,9.0,38.6,15.5,10.5,11.9,2.19,31.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,9,September,Monsoon,123,Moderate,53.2,110.8,33.6,10.6,1.05,33.9,11.5,26.0,94.8,5.7,73.3,9.8,16.7,6.2,2.1,8.0,1.16,25.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,10,October,Post-Monsoon,233,Poor,84.1,169.7,45.6,19.4,2.2,18.1,15.0,24.8,50.4,2.8,31.1,9.2,43.3,13.3,9.2,13.0,4.69,32.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,11,November,Post-Monsoon,389,Very Poor,199.7,341.3,74.5,39.1,2.55,26.2,26.3,22.8,48.1,1.9,0.3,3.9,81.4,22.0,16.0,16.8,4.27,84.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2017,12,December,Winter,357,Very Poor,198.9,478.9,78.5,27.5,1.94,31.5,29.3,15.3,57.1,5.0,0.3,4.3,76.1,25.3,17.3,15.5,2.94,41.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,1,January,Winter,299,Poor,164.2,318.3,83.4,43.6,2.41,23.5,24.7,17.6,47.4,3.3,7.0,5.9,76.7,25.9,18.1,12.9,6.85,77.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,2,February,Winter,377,Very Poor,208.0,505.9,80.8,35.0,2.81,45.1,31.3,7.7,56.1,5.6,12.9,4.9,57.0,13.3,15.3,17.1,2.44,60.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,3,March,Summer,260,Poor,105.9,198.8,37.5,13.6,2.53,41.0,19.2,18.9,76.9,9.5,12.3,7.7,43.0,15.3,8.0,12.7,2.04,52.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,4,April,Summer,212,Poor,84.3,154.6,52.2,10.0,2.5,35.3,20.3,34.2,57.5,9.9,7.3,8.7,34.3,12.8,7.0,11.7,2.7,32.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,5,May,Summer,159,Moderate,76.4,153.2,37.3,12.8,1.03,52.1,17.9,28.3,47.5,5.2,6.6,7.2,43.5,16.0,8.6,14.6,1.3,45.6
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,6,June,Monsoon,211,Poor,70.5,104.6,54.3,29.1,1.6,22.0,11.2,34.8,61.8,2.3,56.8,7.4,30.9,9.1,8.2,10.6,3.84,28.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,7,July,Monsoon,144,Moderate,77.3,156.0,34.9,25.5,1.75,25.2,9.6,29.7,86.7,6.8,33.0,9.3,22.7,6.7,6.6,9.9,2.89,22.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,8,August,Monsoon,128,Moderate,53.6,96.7,37.9,5.6,1.76,13.2,17.5,24.7,78.2,7.4,13.3,6.4,26.7,4.5,7.3,16.2,1.43,23.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,9,September,Monsoon,136,Moderate,80.2,175.4,29.9,15.9,1.71,33.4,9.2,27.9,80.8,2.3,163.5,9.1,27.8,13.6,7.7,14.7,3.11,25.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,10,October,Post-Monsoon,280,Poor,107.2,215.2,69.7,23.0,3.25,51.4,24.3,24.8,51.4,5.6,34.6,6.7,38.7,12.7,8.4,9.3,4.96,29.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,11,November,Post-Monsoon,321,Very Poor,169.3,363.3,77.4,36.0,3.91,21.7,26.6,19.6,59.2,5.6,3.1,9.6,58.3,15.7,18.4,14.1,5.63,63.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2018,12,December,Winter,326,Very Poor,136.7,327.5,59.3,31.2,2.8,30.1,19.0,11.1,51.4,5.1,0.7,7.9,62.0,17.8,10.5,14.8,5.38,64.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,1,January,Winter,355,Very Poor,150.6,281.1,103.1,44.8,4.07,29.7,23.1,12.5,58.6,2.2,8.8,7.3,83.2,37.4,18.3,16.0,6.42,57.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,2,February,Winter,397,Very Poor,160.7,270.5,115.4,34.5,4.05,38.4,28.1,14.2,53.3,2.3,2.5,1.6,82.9,29.6,19.6,10.3,3.53,93.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,3,March,Summer,260,Poor,133.9,228.1,47.4,29.3,3.0,68.6,23.8,20.5,58.7,3.8,30.3,5.7,35.1,16.1,9.6,14.1,4.78,39.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,4,April,Summer,209,Poor,104.8,259.0,39.8,29.1,2.54,37.3,12.0,28.1,61.5,5.1,4.6,8.4,40.1,12.8,10.3,14.2,4.45,39.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,5,May,Summer,208,Poor,115.0,190.4,44.8,20.6,1.66,58.6,17.9,30.0,52.5,3.3,11.3,9.1,44.4,15.0,9.9,11.4,1.79,30.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,6,June,Monsoon,231,Poor,106.8,222.3,73.9,21.1,1.75,23.8,20.1,29.8,66.8,4.5,129.5,7.2,31.8,9.1,11.5,8.8,2.67,30.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,7,July,Monsoon,138,Moderate,64.0,93.6,23.3,12.9,1.77,18.8,13.9,30.1,100.0,2.5,68.6,9.7,36.5,12.2,5.3,6.3,2.31,18.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,8,August,Monsoon,107,Moderate,47.0,88.3,15.2,14.9,1.04,27.3,10.3,26.1,72.7,4.4,8.9,14.8,36.9,9.9,5.2,8.8,1.43,21.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,9,September,Monsoon,123,Moderate,50.8,112.2,22.0,6.3,0.6,44.5,9.3,29.9,70.6,3.1,114.2,13.3,33.9,12.3,7.1,11.2,1.35,31.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,10,October,Post-Monsoon,201,Poor,110.2,245.7,34.8,17.3,1.66,36.5,5.6,25.3,73.5,3.2,45.0,8.8,34.8,13.7,9.8,9.4,1.4,25.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,11,November,Post-Monsoon,287,Poor,93.9,227.8,68.5,24.9,3.92,16.0,21.1,19.2,61.5,6.7,10.2,6.3,76.8,21.5,18.8,15.9,3.69,48.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2019,12,December,Winter,319,Very Poor,167.0,394.6,94.3,32.1,1.99,27.3,20.3,15.4,40.9,10.3,1.9,5.6,59.6,13.8,11.2,14.7,5.34,72.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,1,January,Winter,360,Very Poor,144.1,284.2,76.1,41.4,3.98,48.7,24.9,7.3,28.2,3.6,9.9,3.8,60.8,15.8,12.4,13.8,4.3,37.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,2,February,Winter,368,Very Poor,124.0,265.1,70.0,50.6,2.18,12.0,38.3,9.8,37.6,5.0,2.5,1.3,69.8,19.9,11.7,13.7,2.33,51.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,3,March,Summer,219,Poor,112.6,192.2,41.2,34.4,1.82,66.0,13.5,21.6,53.2,5.9,19.0,5.9,37.0,15.9,9.8,14.5,3.33,21.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,4,April,Summer,98,Satisfactory,32.8,86.3,31.7,14.8,0.77,22.8,15.7,32.3,72.2,3.1,12.3,11.3,22.7,9.0,3.7,8.0,1.09,21.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,5,May,Summer,116,Moderate,54.4,126.3,21.0,10.9,1.55,55.3,6.2,34.4,43.4,9.4,9.8,8.6,17.1,4.3,3.8,10.1,1.29,15.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,6,June,Monsoon,89,Satisfactory,38.3,70.0,12.3,11.8,0.93,37.2,11.8,33.4,65.2,7.8,46.9,12.7,30.0,7.2,4.2,9.7,1.09,28.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,7,July,Monsoon,128,Moderate,51.5,112.8,21.5,15.4,1.48,32.3,8.9,27.2,75.5,4.8,96.5,11.2,39.6,15.5,10.9,10.3,2.78,35.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,8,August,Monsoon,179,Moderate,81.1,185.0,42.8,18.7,0.95,22.3,10.7,23.9,83.1,2.3,8.6,11.5,43.1,13.4,7.9,14.7,2.61,43.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,9,September,Monsoon,164,Moderate,86.4,152.9,43.3,18.2,2.08,36.7,15.8,28.2,78.6,5.1,321.3,10.3,30.6,10.2,10.8,9.7,2.76,29.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,10,October,Post-Monsoon,240,Poor,110.1,263.6,40.2,22.2,2.64,50.6,26.0,23.8,48.4,6.1,176.5,4.9,45.8,24.4,6.7,16.4,3.87,46.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,11,November,Post-Monsoon,320,Very Poor,144.7,292.5,78.0,29.8,4.14,24.6,17.4,25.8,45.0,3.7,7.5,7.0,69.5,24.0,19.3,16.6,6.12,57.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2020,12,December,Winter,374,Very Poor,158.5,289.5,103.9,32.3,5.05,31.6,29.2,12.9,51.9,6.9,0.1,5.2,76.2,31.4,22.6,14.6,6.92,64.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,1,January,Winter,358,Very Poor,200.9,465.9,82.9,25.1,1.58,38.0,35.3,11.7,47.1,3.5,9.4,0.5,74.0,34.2,13.6,14.2,5.07,78.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,2,February,Winter,361,Very Poor,149.0,222.3,85.0,26.1,2.98,29.9,26.1,11.1,43.0,5.1,6.0,5.5,84.0,36.9,19.9,20.2,3.75,101.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,3,March,Summer,229,Poor,82.4,195.0,56.1,21.0,3.1,10.6,21.9,20.3,65.2,3.6,3.4,6.0,40.3,12.0,11.0,13.5,1.97,32.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,4,April,Summer,225,Poor,79.1,154.2,54.6,26.3,2.61,28.2,14.6,37.4,67.0,11.7,9.2,6.4,43.1,10.4,8.7,12.8,3.27,39.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,5,May,Summer,170,Moderate,54.9,90.6,31.7,17.9,2.26,27.9,14.9,32.2,41.1,6.3,49.8,8.2,29.1,7.0,5.6,12.9,3.33,21.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,6,June,Monsoon,177,Moderate,91.9,187.2,39.5,8.5,1.43,38.9,21.1,36.3,41.8,9.3,32.0,9.2,41.8,11.1,11.6,11.4,2.97,19.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,7,July,Monsoon,136,Moderate,65.1,100.5,32.2,14.1,1.69,56.4,7.2,27.3,73.0,4.3,57.7,9.6,30.2,14.5,9.9,13.3,1.05,27.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,8,August,Monsoon,179,Moderate,55.5,110.8,44.4,19.4,0.68,8.8,8.9,28.3,77.4,2.1,104.3,10.8,42.8,14.5,10.2,14.2,3.01,26.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,9,September,Monsoon,163,Moderate,76.4,145.5,34.7,19.8,1.06,35.3,10.7,25.4,69.9,4.7,6.6,9.2,36.6,13.5,5.2,11.7,2.35,34.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,10,October,Post-Monsoon,229,Poor,116.0,250.8,63.4,34.6,2.35,5.0,23.0,20.7,60.2,4.9,21.7,4.3,39.9,12.6,13.2,13.8,2.72,20.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,11,November,Post-Monsoon,366,Very Poor,130.2,291.4,59.1,25.2,4.19,5.0,32.6,17.0,63.8,2.4,4.3,0.7,84.4,23.7,16.0,15.8,6.01,98.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2021,12,December,Winter,342,Very Poor,150.1,247.9,88.6,39.3,4.16,36.1,39.3,9.8,42.4,5.0,0.9,3.5,75.1,31.7,11.2,16.8,3.51,76.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,1,January,Winter,335,Very Poor,134.7,316.5,59.4,19.5,2.12,51.6,30.9,11.9,51.6,5.0,10.5,0.5,70.7,28.7,17.9,8.4,7.3,48.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,2,February,Winter,335,Very Poor,166.1,315.7,52.0,27.8,3.28,28.8,36.7,12.5,55.0,3.5,6.6,4.2,69.8,29.7,15.5,12.3,6.57,70.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,3,March,Summer,249,Poor,85.7,126.6,78.4,28.6,1.16,48.1,13.4,21.0,69.4,6.0,3.0,6.9,41.9,18.9,11.5,15.4,3.46,29.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,4,April,Summer,267,Poor,112.9,237.7,74.2,38.4,1.96,68.9,22.5,32.1,51.7,7.9,22.7,6.8,49.6,22.8,13.0,12.0,5.08,39.3
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,5,May,Summer,220,Poor,70.1,152.8,46.4,29.0,1.67,46.4,15.3,32.6,67.1,2.3,11.9,5.9,51.5,14.2,9.2,14.0,2.25,43.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,6,June,Monsoon,238,Poor,99.5,199.6,57.8,29.0,2.22,50.9,29.1,30.4,49.2,4.5,98.5,8.2,30.3,9.4,7.7,12.9,4.09,17.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,7,July,Monsoon,159,Moderate,70.0,126.5,43.6,27.9,1.18,24.2,5.2,23.4,90.4,7.9,177.3,10.2,26.7,14.2,6.6,9.5,2.01,20.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,8,August,Monsoon,146,Moderate,67.6,148.7,27.0,17.1,1.86,7.6,9.6,26.9,92.9,2.7,13.5,10.5,23.5,8.9,6.3,11.7,1.83,19.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,9,September,Monsoon,153,Moderate,67.1,136.3,42.2,12.6,1.81,46.9,20.9,23.6,90.2,6.3,2.5,9.2,32.7,12.7,5.8,11.1,2.55,39.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,10,October,Post-Monsoon,219,Poor,81.7,184.1,38.3,22.4,3.16,41.9,25.1,19.6,47.4,2.5,153.1,12.5,33.8,12.7,10.2,14.8,3.63,27.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,11,November,Post-Monsoon,332,Very Poor,149.0,247.7,55.2,14.3,3.28,25.3,18.4,20.6,49.0,6.3,13.3,4.9,59.4,18.7,12.4,17.7,6.69,53.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2022,12,December,Winter,325,Very Poor,151.2,345.0,53.1,17.6,3.66,52.3,33.3,6.2,37.1,2.4,4.7,3.2,53.8,13.6,11.2,15.0,6.43,33.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,1,January,Winter,297,Poor,126.2,191.7,44.4,30.1,3.84,5.5,21.7,9.8,35.2,3.0,5.2,7.0,64.3,22.5,13.6,12.6,4.42,64.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,2,February,Winter,408,Severe,156.4,235.6,87.9,33.1,2.94,30.7,24.2,8.1,54.1,2.9,2.9,7.1,85.8,34.9,23.8,19.2,7.28,83.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,3,March,Summer,221,Poor,85.7,195.8,57.0,26.0,3.21,34.7,18.6,24.6,75.4,12.8,16.2,8.4,50.4,20.9,8.2,14.1,2.25,36.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,4,April,Summer,225,Poor,108.6,238.9,47.4,15.9,3.35,44.6,18.1,34.1,72.2,2.0,6.4,6.1,51.6,22.4,15.4,17.5,2.91,61.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,5,May,Summer,207,Poor,119.6,219.7,55.5,26.4,2.43,39.7,14.0,30.4,71.1,5.5,11.8,7.6,45.6,14.6,13.8,13.5,3.59,47.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,6,June,Monsoon,235,Poor,95.4,205.5,38.7,8.6,2.92,44.3,13.2,27.9,58.1,4.1,1.3,7.2,58.4,15.1,14.0,15.2,2.99,71.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,7,July,Monsoon,101,Moderate,53.9,81.1,34.2,12.7,0.51,14.8,2.3,30.4,81.9,3.4,122.2,15.4,27.9,7.4,7.2,8.2,0.36,22.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,8,August,Monsoon,146,Moderate,67.8,133.6,23.9,22.5,1.16,5.8,10.0,27.6,83.9,4.6,132.1,8.6,39.3,19.5,7.2,10.9,1.68,34.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,9,September,Monsoon,138,Moderate,45.1,68.5,19.6,14.7,1.57,36.7,4.4,29.2,71.3,2.7,282.9,11.0,25.9,5.8,4.4,14.2,2.2,24.4
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,10,October,Post-Monsoon,260,Poor,129.7,291.1,45.6,14.4,1.19,31.8,18.6,21.3,48.9,6.6,4.9,8.4,46.8,12.5,12.2,11.8,5.21,37.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,11,November,Post-Monsoon,347,Very Poor,150.6,328.6,66.6,32.1,2.77,15.5,29.8,17.0,56.9,2.2,18.7,4.4,58.8,15.5,11.7,14.4,5.03,53.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2023,12,December,Winter,303,Very Poor,136.7,317.2,50.8,30.1,4.55,24.9,16.4,7.8,52.8,6.6,0.1,5.1,55.2,23.8,6.5,13.3,3.4,60.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,1,January,Winter,284,Poor,92.5,220.2,53.7,29.6,3.03,31.0,18.7,4.3,34.9,4.7,5.5,10.1,56.7,22.9,11.5,13.3,2.03,44.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,2,February,Winter,352,Very Poor,175.2,358.6,100.1,19.8,4.56,20.3,22.8,17.3,38.4,4.5,10.9,5.9,63.6,26.7,11.0,14.2,3.32,71.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,3,March,Summer,247,Poor,93.5,209.6,44.4,16.4,3.69,35.6,26.8,20.1,38.7,3.2,0.2,6.2,48.4,15.9,12.5,13.9,3.02,53.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,4,April,Summer,236,Poor,104.2,230.7,49.1,29.6,2.78,35.1,22.0,30.7,48.3,8.4,6.3,7.3,30.8,14.5,8.9,15.4,4.53,27.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,5,May,Summer,165,Moderate,73.9,121.2,32.9,11.1,1.82,41.1,15.6,33.6,57.1,3.7,30.1,10.1,38.7,15.8,10.0,8.4,2.47,40.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2024,6,June,Monsoon,228,Poor,114.4,192.2,62.2,22.4,1.61,26.1,14.2,32.4,55.0,4.9,52.4,9.5,57.0,17.5,10.5,14.1,4.24,60.7
